,BoroCT2010,Neighborhood
0,2000100,Rikers Island
2,2000200,Soundview-Castle Hill-Clason Point-Harding Park
5,2000400,Soundview-Castle Hill-Clason Point-Harding Park
10,2001600,Soundview-Castle Hill-Clason Point-Harding Park
14,2001900,Mott Haven-Port Morris
19,2002000,Soundview-Castle Hill-Clason Point-Harding Park
25,2002300,Mott Haven-Port Morris
28,2002400,park-cemetery-etc-Bronx
29,2002500,Mott Haven-Port Morris
34,2002701,Mott Haven-Port Morris
36,2002702,Mott Haven-Port Morris
40,2002800,Soundview-Castle Hill-Clason Point-Harding Park
45,2003100,Mott Haven-Port Morris
46,2003300,Mott Haven-Port Morris
49,2003500,Mott Haven-Port Morris
52,2003700,Mott Haven-Port Morris
53,2003800,Soundview-Castle Hill-Clason Point-Harding Park
54,2003900,Mott Haven-Port Morris
59,2004001,Soundview-Bruckner
60,2004100,Mott Haven-Port Morris
64,2004200,Soundview-Castle Hill-Clason Point-Harding Park
71,2004300,Mott Haven-Port Morris
75,2004400,Soundview-Bruckner
79,2004600,Soundview-Castle Hill-Clason Point-Harding Park
80,2004800,Soundview-Bruckner
82,2005001,Soundview-Bruckner
86,2005002,Soundview-Bruckner
90,2005100,Mott Haven-Port Morris
93,2005200,Soundview-Bruckner
95,2005300,University Heights-Morris Heights
97,2005400,West Farms-Bronx River
101,2005600,West Farms-Bronx River
104,2005902,East Concourse-Concourse Village
106,2006000,Crotona Park East
107,2006100,East Concourse-Concourse Village
110,2006200,West Farms-Bronx River
115,2006300,West Concourse
121,2006400,West Farms-Bronx River
125,2006500,Mott Haven-Port Morris
129,2006700,Melrose South-Mott Haven North
135,2006800,Soundview-Bruckner
138,2006900,Melrose South-Mott Haven North
142,2007000,Soundview-Bruckner
145,2007100,Melrose South-Mott Haven North
147,2007200,Soundview-Bruckner
151,2007300,Melrose South-Mott Haven North
154,2007400,Soundview-Castle Hill-Clason Point-Harding Park
157,2007500,Melrose South-Mott Haven North
161,2007600,West Farms-Bronx River
166,2007700,Melrose South-Mott Haven North
167,2007800,Westchester-Unionport
171,2007900,Melrose South-Mott Haven North
177,2008300,Longwood
183,2008400,Soundview-Castle Hill-Clason Point-Harding Park
185,2008500,Longwood
190,2008600,Soundview-Castle Hill-Clason Point-Harding Park
193,2008700,Longwood
198,2008900,Hunts Point
200,2009000,Soundview-Castle Hill-Clason Point-Harding Park
205,2009200,Westchester-Unionport
210,2009300,Hunts Point
216,2009600,Westchester-Unionport
218,2009800,Westchester-Unionport
223,2011000,Schuylerville-Throgs Neck-Edgewater Park
224,2011502,Soundview-Castle Hill-Clason Point-Harding Park
228,2011700,Hunts Point
230,2011800,Schuylerville-Throgs Neck-Edgewater Park
232,2011900,Hunts Point
237,2012101,Morrisania-Melrose
239,2012102,Hunts Point
240,2012300,Crotona Park East
243,2012500,Morrisania-Melrose
245,2012701,Hunts Point
247,2012901,Longwood
249,2013000,Schuylerville-Throgs Neck-Edgewater Park
250,2013100,Longwood
253,2013200,Schuylerville-Throgs Neck-Edgewater Park
258,2013300,Morrisania-Melrose
262,2013500,Morrisania-Melrose
265,2013800,Schuylerville-Throgs Neck-Edgewater Park
267,2014100,Morrisania-Melrose
270,2014300,East Concourse-Concourse Village
271,2014400,Schuylerville-Throgs Neck-Edgewater Park
277,2014500,Claremont-Bathgate
281,2014701,Claremont-Bathgate
284,2014702,Claremont-Bathgate
288,2014900,Morrisania-Melrose
291,2015100,Morrisania-Melrose
295,2015200,Schuylerville-Throgs Neck-Edgewater Park
297,2015300,Crotona Park East
300,2015500,Crotona Park East
302,2015700,Crotona Park East
305,2015800,Schuylerville-Throgs Neck-Edgewater Park
306,2015900,Hunts Point
308,2016000,Schuylerville-Throgs Neck-Edgewater Park
312,2016100,Crotona Park East
316,2016200,Schuylerville-Throgs Neck-Edgewater Park
318,2016300,park-cemetery-etc-Bronx
319,2016400,Schuylerville-Throgs Neck-Edgewater Park
320,2016500,Claremont-Bathgate
321,2016600,Schuylerville-Throgs Neck-Edgewater Park
323,2016700,Claremont-Bathgate
325,2016900,Claremont-Bathgate
326,2017100,park-cemetery-etc-Bronx
327,2017300,East Concourse-Concourse Village
331,2017500,East Concourse-Concourse Village
337,2017701,East Concourse-Concourse Village
340,2017702,East Concourse-Concourse Village
344,2017901,East Concourse-Concourse Village
347,2017902,East Concourse-Concourse Village
350,2018101,East Concourse-Concourse Village
353,2018102,East Concourse-Concourse Village
357,2018301,East Concourse-Concourse Village
360,2018302,East Concourse-Concourse Village
363,2018400,Schuylerville-Throgs Neck-Edgewater Park
367,2018500,Morrisania-Melrose
372,2018900,Highbridge
376,2019300,Highbridge
380,2019400,Schuylerville-Throgs Neck-Edgewater Park
381,2019500,West Concourse
385,2019700,West Concourse
390,2019900,Highbridge
396,2020000,Van Nest-Morris Park-Westchester Square
400,2020100,Highbridge
403,2020200,Westchester-Unionport
405,2020400,Westchester-Unionport
408,2020501,University Heights-Morris Heights
412,2020502,University Heights-Morris Heights
415,2020601,Westchester-Unionport
417,2020900,West Concourse
421,2021001,Parkchester
427,2021002,Parkchester
435,2021100,Highbridge
439,2021200,Parkchester
444,2021301,University Heights-Morris Heights
446,2021302,Highbridge
450,2021501,University Heights-Morris Heights
453,2021502,University Heights-Morris Heights
458,2021601,West Farms-Bronx River
462,2021602,Parkchester
467,2021700,University Heights-Morris Heights
471,2021800,West Farms-Bronx River
476,2021900,Highbridge
477,2022000,East Tremont
478,2022101,West Concourse
481,2022102,West Concourse
484,2022200,Parkchester
488,2022300,West Concourse
492,2022401,Pelham Parkway
494,2022403,Pelham Parkway
496,2022404,Pelham Parkway
499,2022500,East Concourse-Concourse Village
505,2022701,Mount Hope
508,2022702,Mount Hope
509,2022703,Mount Hope
510,2022800,Pelham Parkway
514,2022901,Mount Hope
519,2022902,Mount Hope
522,2023000,Van Nest-Morris Park-Westchester Square
524,2023100,Mount Hope
525,2023200,Van Nest-Morris Park-Westchester Square
527,2023301,Mount Hope
531,2023302,Mount Hope
533,2023501,Mount Hope
536,2023502,Mount Hope
540,2023600,Van Nest-Morris Park-Westchester Square
542,2023702,Bedford Park-Fordham North
543,2023703,Fordham South
546,2023704,Fordham South
549,2023800,Van Nest-Morris Park-Westchester Square
552,2023900,Fordham South
558,2024000,Van Nest-Morris Park-Westchester Square
561,2024100,Mount Hope
566,2024300,University Heights-Morris Heights
570,2024400,Van Nest-Morris Park-Westchester Square
572,2024501,University Heights-Morris Heights
576,2024502,University Heights-Morris Heights
579,2024600,Pelham Parkway
581,2024700,University Heights-Morris Heights
583,2024800,Pelham Parkway
586,2024900,University Heights-Morris Heights
587,2025000,Pelham Parkway
589,2025100,University Heights-Morris Heights
596,2025200,Van Nest-Morris Park-Westchester Square
598,2025300,Kingsbridge Heights
602,2025400,Van Nest-Morris Park-Westchester Square
604,2025500,Kingsbridge Heights
607,2025600,Van Nest-Morris Park-Westchester Square
609,2025700,University Heights-Morris Heights
610,2026100,Kingsbridge Heights
611,2026300,Kingsbridge Heights
616,2026400,Schuylerville-Throgs Neck-Edgewater Park
