,Unnamed: 0,BoroCT2010,311 calls,Total Households,Median Income,Total cars,Total educated,Total High School,Total bachelors,Total masters,Total PHD,Median Age,Total households,Total family households,Total non-family households,Median House Value,Total Hunits,Owner Occupied,Renter Occupied,Total Population,White only,Black only,Asian only,Hispanic only,Other Only,Median Rent,Normalized 311 calls,Normalized cars,Normalized High school,Normalized bachelors,Normalized masters,Normalized PHD,Normalized familiy household,Normalized non-family household,Normalized owner ocuppied,Normalized renter ocuppied,Normalized white only,Normalized black only,Normalized asian only,Normalized hispanic only,Normalized other only
0,0,1000202,580,3447.0,29418.0,744.0,6073.0,1481.0,959.0,326.0,30.0,44.1,3447.0,2025.0,1422.0,449400.0,8084.0,1701.0,6383.0,8308.0,2050.0,753.0,2044.0,3168.0,293.0,621.0,0.0698122291767,0.215839860748,178.261916225,115.430909966,39.2392874338,3.61097737121,0.587467362924,0.412532637076,0.210415635824,0.789584364176,0.246750120366,0.0906355320173,0.246027924892,0.3813192104,0.0352672123255
1,1,1000500,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,1000600,1151,3954.0,18944.0,768.0,8360.0,1177.0,965.0,238.0,23.0,46.3,3954.0,2500.0,1454.0,519100.0,11149.0,332.0,10817.0,11354.0,521.0,983.0,6189.0,3500.0,161.0,589.0,0.101373965122,0.194233687405,103.663906993,84.9920732781,20.9617755857,2.0257178087,0.632271117855,0.367728882145,0.0297784554669,0.970221544533,0.0458869121015,0.0865774176502,0.545094239915,0.308261405672,0.0141800246609
3,3,1000700,1633,4610.0,114519.0,581.0,6758.0,103.0,3175.0,1714.0,277.0,28.9,4610.0,1231.0,3379.0,911000.0,8582.0,1730.0,6852.0,8598.0,5894.0,284.0,1683.0,574.0,163.0,2000.0,0.189927890207,0.126030368764,11.9795301233,369.271923703,199.348685741,32.2167946034,0.267028199566,0.732971800434,0.201584712188,0.798415287812,0.685508257734,0.0330309374273,0.195743196092,0.0667597115608,0.0189578971854
4,4,1000800,1105,3585.0,24366.0,685.0,7346.0,1165.0,861.0,330.0,59.0,45.6,3585.0,2411.0,1174.0,480600.0,9319.0,159.0,9160.0,9333.0,727.0,88.0,7814.0,262.0,442.0,906.0,0.11839708561,0.191073919107,124.825886639,92.2532947605,35.3584056573,6.3216543448,0.672524407252,0.327475592748,0.0170619165146,0.982938083485,0.07789563913,0.00942890817529,0.837244187292,0.0280724311583,0.0473588342441
5,5,1000900,1103,646.0,170455.0,291.0,1084.0,61.0,359.0,255.0,88.0,33.3,646.0,334.0,312.0,1000000.0,1378.0,187.0,1191.0,1396.0,1048.0,32.0,118.0,154.0,44.0,2000.0,0.790114613181,0.450464396285,43.6962750716,257.163323782,182.664756447,63.0372492837,0.517027863777,0.482972136223,0.135703918723,0.864296081277,0.750716332378,0.0229226361032,0.0845272206304,0.110315186246,0.0315186246418
6,6,1001001,147,743.0,83259.0,407.0,1230.0,204.0,463.0,241.0,16.0,42.7,743.0,359.0,384.0,516400.0,1681.0,1236.0,445.0,1681.0,1136.0,35.0,75.0,389.0,46.0,1419.0,0.0874479476502,0.547779273217,121.356335515,275.431290898,143.367043427,9.51814396193,0.483176312248,0.516823687752,0.735276621059,0.264723378941,0.675788221297,0.0208209399167,0.0446162998215,0.231409875074,0.0273646638905
7,7,1001002,104,2258.0,17972.0,398.0,4190.0,900.0,184.0,91.0,0.0,39.1,2258.0,1460.0,798.0,0.0,5748.0,0.0,5748.0,6174.0,273.0,1120.0,562.0,4130.0,89.0,420.0,0.0168448331714,0.176262178919,145.772594752,29.8023971493,14.7392290249,0.0,0.646589902569,0.353410097431,0.0,1.0,0.0442176870748,0.181405895692,0.0910268869453,0.668934240363,0.0144152899255
8,8,1001200,458,1743.0,42219.0,442.0,2832.0,385.0,693.0,401.0,53.0,46.6,1743.0,860.0,883.0,505400.0,3493.0,1389.0,2104.0,3552.0,1522.0,108.0,838.0,1019.0,65.0,669.0,0.128941441441,0.253585771658,108.38963964,195.101351351,112.894144144,14.9211711712,0.493402180149,0.506597819851,0.397652447753,0.602347552247,0.428490990991,0.0304054054054,0.235923423423,0.286880630631,0.0182995495495
9,9,1001300,1708,2417.0,122031.0,422.0,3238.0,139.0,1649.0,764.0,87.0,30.5,2417.0,602.0,1815.0,746100.0,4157.0,198.0,3959.0,4167.0,2797.0,115.0,739.0,454.0,62.0,2000.0,0.409887209023,0.174596607365,33.3573314135,395.728341733,183.345332373,20.8783297336,0.249069093918,0.750930906082,0.0476305027664,0.952369497234,0.671226301896,0.0275977921766,0.177345812335,0.108951283897,0.0148788096952
