,Geo_FIPS,BoroCT2010,Total Population,Population under 18,population between 18 and 34,population between 35 to 64,population 65 and over,Median Age,Population white,population black,Population asian,population hispanic,population other race,Total households,family households,nonfamily households,population education less than high school,population education high school,population education some college,population education bachelors,population education masters,population education professional school,population education phd,household income less than 10,household income from 10 to 15,household income from 15 to 20,household income from 20 to 25,household income from 25 to 30,household income from 30 to 35,household income from 35 to 40,household income from 40 to 45,household income from 45 to 50,household income from 50 to 60,household income from 60 to 75,household income from 75 to 100,household income from 100 to 125,household income from 125 to 150,household income from 150 to 200,household income 200 or more,income per capita,total housing units,owner  occupied units,house value less than 20,house value from 20 to 50,house value from 50 to 100,house value from 100 to 150,house value from 150 to 300,house value from 300 to 500,house value from 500 to 750,house value from 750 to 1000,house value 1000 or more,median house value,renter occupied units,rent less than 300,rent from 300 to 600,rent from 600 to 800,rent from 800 to 1000,rent from 1000 to 1250,rent from 1250 to 1500,rent from 1500 to 2000,rent 2000 or more,median rent,transportation car,number of cars,transportation public,tranportation motorcycle,transportation bicyle,transportation walk,transportation other means,work at home
0,36005000100,2000100,8430,357,4998,3019,56,29.3,585,4647,167,2943,88,0,0,0,3380,1197,678,85,33,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3327.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
1,36005000200,2000200,5095,1147,1329,1868,751,36.6,115,1041,331,3505,103,1379,1166,213,837,1124,917,418,77,0,0,175,41,43,44,92,44,27,18,37,75,95,249,229,133,46,31,22971.0,1475,802,0,22,9,0,96,566,97,12,0,410400.0,577,14,59,20,71,109,120,119,65,1282.0,1334,1015,712,0,0,44,0,12
2,36005000400,2000400,5572,1326,1331,2399,516,36.5,160,1709,21,3533,149,1819,1462,357,560,761,1400,677,376,18,8,104,58,78,27,46,40,96,79,8,135,169,376,270,162,112,59,29803.0,1995,1312,14,19,0,36,306,820,117,0,0,354100.0,480,0,20,33,22,87,81,182,55,1491.0,1281,1108,1168,0,0,60,17,62
3,36005001600,2001600,5412,1235,1119,2191,867,39.9,75,1609,0,3694,34,1912,1316,596,1171,1047,821,357,119,36,0,212,221,128,121,161,178,121,136,57,159,76,151,100,30,7,54,18544.0,2038,375,0,0,0,0,23,216,103,33,0,418300.0,1529,159,282,220,271,384,97,116,0,920.0,822,546,918,0,0,151,32,23
4,36005001900,2001900,2569,608,860,1006,95,30.6,209,705,39,1509,107,834,468,366,435,455,448,217,65,16,6,141,33,47,29,108,66,94,45,36,66,27,69,29,0,44,0,16168.0,895,62,3,0,0,0,4,49,6,0,0,360000.0,764,55,35,74,102,230,80,81,107,1126.0,195,127,688,0,6,25,6,56
5,36005002000,2002000,8959,2480,1920,3587,972,35.7,114,3090,290,5264,201,2980,2198,782,1725,1823,1164,568,196,0,12,716,343,291,193,176,352,210,73,27,110,111,186,80,0,70,42,14052.0,3169,498,18,0,0,0,8,428,44,0,0,370800.0,2460,536,690,538,281,156,113,51,95,601.0,834,618,1944,0,0,108,0,22
6,36005002300,2002300,4860,1459,1144,1659,598,31.5,20,1855,0,2985,0,1883,1113,770,1259,949,550,87,1,14,5,637,363,255,163,62,75,15,27,76,68,29,75,29,9,0,0,9724.0,1960,17,8,0,0,0,9,0,0,0,0,0.0,1866,641,839,253,74,50,0,0,9,398.0,108,108,847,0,7,161,11,67
7,36005002400,2002400,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
8,36005002500,2002500,5143,1766,1354,1546,477,28.5,59,826,234,4018,6,1794,1209,585,1403,783,526,129,21,18,0,477,379,177,189,52,95,77,12,62,89,86,28,40,20,0,11,10549.0,2051,33,6,0,0,0,0,13,14,0,0,480800.0,1723,408,460,190,182,221,166,96,0,585.0,212,181,1105,0,38,220,0,8
9,36005002701,2002701,3172,1090,757,1088,237,26.7,0,1006,0,2143,23,1086,809,277,800,466,276,47,31,0,22,322,112,105,111,63,53,33,79,50,73,41,44,0,0,0,0,9575.0,1117,0,0,0,0,0,0,0,0,0,0,0.0,1086,237,247,182,102,125,89,98,6,630.0,150,95,728,0,0,157,0,25
10,36005002702,2002702,4683,1407,1462,1404,410,26.2,97,1188,0,3355,43,1333,1035,298,1236,478,561,89,0,0,0,285,279,157,24,106,126,158,18,12,29,37,93,9,0,0,0,8545.0,1423,30,0,0,0,0,0,30,0,0,0,0.0,1303,215,217,100,146,251,123,251,0,977.0,121,98,1271,0,12,88,0,5
