,Neighborhood,population between 18 and 34_n,population between 35 to 64_n,population 65 and over_n,Population white_n,population black_n,Population asian_n,population hispanic_n,population other _n,family households_n,nonfamily households_n,population education high school and less_n,population education bachelors_n,population education masters_n,population education phd_n,household income less than 10_n,owner  occupied units_n,renter occupied units_n,cars per capita,transportation car_n,transportation public_n,tranportation motorcycle_n,total workers,household income form 10 to 40_n,household income form 40 to 75_n,household income 75 and above_n,house value less than 100_n,house value for 100 to 500_n,house value 500 or more_n,rent less than 1000_n,rent bewteen 1000 and 2000_n,Transportation Other means_n,rent 2000 or more_n
0,Airport,19991.44065,31714.06358,10062.49577,19164.55357,18241.25629,7310.887696,14563.74279,2487.559658,42660.12751,19055.87249,15242.59799,9815.234043,4580.903298,512.7101071,8421.950124,26600.68466,29270.80738,12381.76539,20299.84125,12075.15044,123.8787156,61869,26972.21452,23043.51184,36524.82796,3734.9469,36353.87046,20827.18264,16895.06282,36981.70339,3132.253619,7764.233794
1,Allerton-Pelham Gardens,2391.492508,3691.077912,1215.42958,1630.932196,2407.259577,507.4161925,2584.03854,168.353494,4949.925383,2342.074617,1756.481073,984.5343585,453.2897154,55.23915904,1311.30503,2391.948839,4240.166251,1483.562253,1975.953414,1309.35452,7.805774529,7310,3669.4987,2696.857597,3480.369079,751.5610359,4489.44878,1871.990184,2415.395483,4250.848515,360.0447502,621.7560022
2,Annadale-Huguenot-Prince's Bay-Eltingville,1667.125941,3118.038729,1031.835329,3781.817501,534.7205323,492.8048584,917.2857555,90.37135338,4318.477309,1496.522691,1577.31232,1002.213669,479.1774452,47.93840053,558.0315991,3618.025154,1707.621521,1293.209923,2573.240189,980.9731463,5.222601743,5821,1869.582493,1756.878153,3909.352157,200.6528705,3292.689138,2298.657991,1659.153363,3412.819722,192.702505,738.0269141
3,Arden Heights,498.5165606,914.3085064,296.174933,1112.371568,131.9160872,149.5025375,289.0377449,26.17206222,1253.191326,453.8086739,453.8534449,295.0618682,146.6166245,14.78517389,144.3181847,1079.942614,499.2961665,366.8854637,770.8621722,291.9554487,1.900932232,1710,553.9828018,539.2235566,1181.277189,63.46173058,1001.399069,630.1392008,428.6887019,1043.294123,64.8347699,233.0171752
4,Astoria,8396.696225,12099.70459,3920.599186,8998.015785,3917.561109,3752.243281,7073.540957,675.6388689,15529.11695,8846.883047,5376.917015,4523.529847,2078.702145,256.5772101,3676.28131,8444.23794,13549.11628,5375.65268,6320.842653,5034.461479,68.55405531,24530,11783.00503,10059.6677,15879.00182,1335.549249,11639.68706,11018.76369,6209.909272,14604.49296,1523.840235,3524.597767
5,Auburndale,1330.141869,2331.475354,820.3827765,1718.498512,562.5852621,1075.433529,996.4620577,129.0206397,3174.371888,1302.628112,1036.047405,816.325866,402.869725,46.78338109,465.7069694,2286.295548,1816.138776,909.1868885,1671.160757,830.4094012,7.387851749,4496,1723.147287,1612.781798,2791.295205,208.373773,2218.078864,2036.547363,906.1623429,2771.972953,215.6166276,783.8647046
6,Baisley Park,1379.811565,2174.380671,679.8077643,896.591038,1592.251531,557.4900928,1005.026555,182.6407824,3037.838333,1178.161667,1071.333096,614.0939924,276.5134727,26.32604755,526.1129855,1872.581854,1961.0879,939.2704452,1302.782334,810.2876842,6.888312876,4250,1737.111862,1550.966696,2253.840568,239.3218197,2557.312676,1365.365505,1107.471568,2621.992685,185.1809349,471.5357473
7,Bath Beach,1626.003433,2655.257014,936.7395534,2539.468735,728.2529961,951.0848258,898.1162971,101.0771463,3622.313973,1594.686027,1294.448828,901.5192433,407.8143518,45.17672559,690.3129284,2171.109945,2568.485115,1112.795804,1459.228864,1024.78332,11.1901412,5228,2337.062071,1885.939457,2921.586148,253.0884572,2094.268502,2823.643041,1413.006962,3284.872311,291.585705,509.1207267
8,Battery Park City-Lower Manhattan,109214.0499,160503.4538,52161.49633,146195.9298,58042.36566,38215.30791,71149.12514,8276.271501,195635.1892,126059.8108,63334.577,68582.40617,35496.97434,5050.341353,50438.02063,119209.7293,168970.9785,65750.5361,90627.72579,66141.10598,1043.494205,322171,148555.7255,126073.8831,272381.8712,18975.84176,147090.7457,149423.4125,86792.88538,166283.8996,26466.11745,68254.21501
9,Bay Ridge,8357.663549,13364.45531,4517.881142,12505.56892,3974.365058,3987.619865,5200.461211,571.9849475,17411.80775,8814.19225,6132.431299,4708.865221,2223.656251,272.9854901,3749.602282,10170.08802,13597.85241,5700.812175,6998.18461,5214.056048,63.18909627,26298,12169.66857,9885.640115,15907.6925,1447.415215,10671.75968,13809.82511,7177.360101,16245.8953,1583.933646,2777.744596
10,Bayside-Bayside Hills,4279.351618,7536.51718,2669.131202,5459.775119,2061.193076,3284.740684,3225.40788,453.8832419,10211.63061,4249.369394,3323.691709,2727.017891,1270.737918,156.3012452,1473.362357,7321.352788,5899.227736,3030.181503,5295.194552,2692.261078,21.53008898,14535,5628.086077,5117.714878,9205.402099,725.4521875,6986.402957,6643.144855,3073.334993,8838.347446,684.3222752,2518.317561
11,Bedford,7653.74263,9555.625015,2799.632356,7435.368926,5930.778669,1478.214775,4750.927472,413.7101594,13391.83461,6571.165392,4940.09974,2808.885281,1289.29792,147.0567862,3678.270895,5274.7122,12589.68895,4018.824241,3979.191181,3768.976989,97.92663478,20088,10805.65331,7343.979279,9843.959619,1268.260885,8800.25753,9533.481586,6695.756407,10887.62592,1890.891038,2355.617667
