,Population under 18,population between 18 and 34,population between 35 to 64,population 65 and over,Population white,population black,Population asian,population hispanic,population other race,family households,nonfamily households,population education high school,population education bachelors,population education masters,population education phd,owner  occupied units,renter occupied units,transportation car,number of cars,transportation public,tranportation motorcycle,household income form 10 to 40,household income form 40 to 75,household income 75 and above,house value for 20 to 100,house value for 100 to 500,house value 500 or more,rent bewteen 300 and 1000,rent bewteen 1000 and 2000,rent 2000 or more,Transportation Other means,population between 18 and 34_n,population between 35 to 64_n,population 65 and over_n,Population white_n,population black_n,Population asian_n,population hispanic_n,population other _n,family households_n,nonfamily households_n,population education high school_n,population education bachelors_n,population education masters_n,population education phd_n,household income less than 10_n,owner  occupied units_n,renter occupied units_n,transportation car_n,transportation public_n,tranportation motorcycle_n,household income form 10 to 40_n,household income form 40 to 75_n,household income 75 and above_n,house value for 20 to 100_n,house value for 100 to 500_n,house value 500 or more_n,rent bewteen 300 and 1000_n,rent bewteen 1000 and 2000_n,rent 2000 or more_n,Transportation Other means_n
AGENCY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APPLIANCE,1.1511410901844481e-07,6.1444920922823093e-08,-2.2068188552080765e-08,-8.5337142339622086e-08,5.0069367147416343e-09,3.7548835413687574e-08,-1.7573782543884057e-08,5.4659913240610723e-08,-3.5983995377179531e-08,1.0833083387272284e-07,-1.2564445715485687e-08,1.4990770487281635e-07,-2.6585164311143602e-08,-7.5201831512679433e-08,5.1185606386444444e-07,-5.8745343339604812e-08,1.0599793887643334e-07,-1.4476967879063314e-07,1.7082994106127246e-07,1.1080883139235145e-07,-1.3590301595838097e-05,3.6202611125435928e-07,-1.5431686616023318e-07,-3.6835971089106437e-08,7.6483527557195457e-07,1.3246428191007004e-07,2.2620921562969694e-08,1.8454058488414764e-07,8.5021963532380513e-08,-9.3730968264267236e-08,-7.8877095227820893e-08,,,,-4.8768157566903532e-08,2.6656936732957519e-08,-6.1043353255777635e-08,3.1158884089567654e-07,-1.7885444926100883e-06,,,,,,,,,,,,,5.0305572380687236e-07,-6.0414545218078308e-07,5.39514436558089e-09,1.518012982141009e-06,-8.2668898045227203e-08,-1.0804753791212089e-07,,,,
Adopt-A-Basket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Quality,-9.0465386338844169e-08,1.3064190923359067e-07,-2.823683418571209e-08,7.4609259987725017e-08,3.2954568166402125e-08,4.2324493164405716e-09,3.1508649576052846e-10,9.0251178076957303e-09,3.4831841279841431e-08,-1.632369334036438e-08,1.2207688918930814e-07,-3.6171370956071994e-08,1.1491951323894808e-07,1.8792349988361513e-07,-8.5426217457194409e-07,4.3634772980038951e-08,4.5683918309188421e-08,-2.9841194714897012e-07,3.7871778701989634e-07,-5.8038123610373587e-09,6.4983300067375615e-06,1.5924457809615245e-07,-2.8322401446353367e-07,1.5939196390589276e-07,2.1390787518180531e-07,-1.1969534494316001e-08,2.1195769108639012e-07,4.2605797287815293e-08,1.5672144402799754e-08,2.1827853429221847e-07,2.502278337652803e-07,-8.4043407115826621e-08,3.2275218874235143e-07,-7.5229236253897756e-07,-3.5228113943062061e-08,2.4829571262973102e-08,8.6121773713976888e-08,1.0329674820240736e-07,-5.3674750948848586e-07,4.3333926840748233e-08,-4.0648759970247238e-08,8.8870030084217353e-08,8.8542890054736904e-07,-2.4300660003835816e-06,4.4975712407718645e-06,,-3.8811681898540317e-08,4.2172846548171084e-08,-1.7932241539195676e-07,4.6296389089062035e-07,-2.1617365269219574e-06,-2.1141000722231117e-08,1.41921038982693e-07,-4.3498565829437083e-08,3.4015475008409678e-07,5.0049930572040221e-09,-2.7869014290351414e-08,4.4969488619903075e-08,1.709006149065825e-08,-5.3427102605676241e-08,-3.6747867740316674e-07
Animal Abuse,3.460025291327545e-08,2.4520292514747012e-08,1.7128061973050981e-08,-8.1498112973100695e-09,1.7693103460578028e-08,2.1935923793491377e-08,2.7651616101581701e-09,2.8036461422984559e-08,2.2395340827043399e-08,9.0650520023343872e-08,-2.110429320979666e-09,9.1989392319885735e-08,2.4211633551544919e-08,5.6377889831142217e-08,-2.9784459498100128e-07,6.7270540512890394e-08,4.397782051056425e-08,-2.8082794112714812e-07,4.5459634220716989e-07,2.6091793497739698e-08,-2.1734315139640502e-07,1.0062630339704491e-07,8.4316588417314499e-08,5.1493515100959841e-09,3.1370876359735631e-07,2.0417596658451313e-07,5.9805382853776396e-08,8.9757233752032722e-08,7.7026016675319513e-08,1.9082795428390695e-09,4.2601353534254188e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animal Facility - No Permit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animal in a Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asbestos,-1.6992975967355546e-08,2.4448440432779437e-08,4.3877298829238469e-10,1.0127421949130082e-08,8.012659800268676e-09,3.3521789060395351e-09,1.0328324604761599e-09,3.6783404891087545e-09,1.0453267758470015e-09,7.816991283152386e-10,2.8574690043181845e-08,5.6769973180267993e-10,9.1631575727377695e-09,7.5954420331235762e-08,-2.1856242587761526e-07,9.0669121055878113e-09,1.4971344774678936e-08,-1.0461745820341485e-07,1.3011275090573782e-07,5.3818290986828687e-09,1.5148101010843505e-06,4.869196345981686e-08,-6.3142068313856881e-08,3.3714665160079979e-08,3.069712063512728e-07,-5.2405146290430239e-09,4.3138750027364822e-08,1.6052884012267228e-08,9.9645800441666606e-09,4.3994219118993369e-08,4.4261072311564438e-08,-1.5240736790362462e-08,9.5897182964341717e-08,-2.474834595686995e-07,-1.3261541818052275e-08,-5.7583627473839826e-09,1.5967736185602286e-08,4.9123744890234918e-08,-1.670321798844384e-07,9.6813032053918212e-09,-8.7067718326798478e-09,2.1015137447413375e-08,2.6024315076494677e-07,-7.1274580862199632e-07,1.3409544498584935e-06,,-2.032655138868623e-08,1.7221026003258054e-08,-7.2648041952154097e-08,1.6713703047594143e-07,-2.0786801247893208e-06,4.6015372084631805e-08,-4.0644677442306123e-08,-3.9834852228834801e-09,1.7664665340727863e-07,-8.147864039887555e-09,-9.8555139118336455e-09,2.0963572061902826e-08,-1.3929918085017469e-09,-1.2261767830693435e-08,-7.0149638409874783e-08
BEST/Site Safety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beach/Pool/Sauna Complaint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
