,age_residents,race_residents,typeof_household_residents,education_residents,ownorrent_residents,transportationtype_residents,income_residents,housing_values_residents,rent_residents,age_workers,race_workers,typeof_household_workers,education_workers,ownorrent_workers,transportationtype_workers,income_workers,housing_values_workers,rent_workers
Air Quality,population between 18 and 34,population other race,nonfamily households,population education masters,renter occupied units,tranportation motorcycle,household income 75 and above,house value for 20 to 100,rent 2000 or more,population between 35 to 64_n,population hispanic_n,family households_n,population education phd_n,renter occupied units_n,transportation public_n,household income form 40 to 75_n,house value for 20 to 100_n,rent bewteen 300 and 1000_n
Animal Abuse,Population under 18,population hispanic,family households,population education high school,owner  occupied units,number of cars,household income form 10 to 40,house value for 20 to 100,rent bewteen 300 and 1000,,,,,,,,,
Asbestos,population between 18 and 34,Population white,nonfamily households,population education masters,renter occupied units,tranportation motorcycle,household income form 10 to 40,house value for 20 to 100,rent 2000 or more,population between 35 to 64_n,population hispanic_n,family households_n,population education phd_n,renter occupied units_n,transportation public_n,household income form 10 to 40_n,house value for 20 to 100_n,rent bewteen 300 and 1000_n
Blocked Driveway,population between 35 to 64,population other race,family households,population education high school,owner  occupied units,tranportation motorcycle,household income form 40 to 75,house value for 100 to 500,rent bewteen 1000 and 2000,,,,population education phd_n,,,,,rent bewteen 1000 and 2000_n
Broken Muni Meter,population 65 and over,Population white,nonfamily households,population education masters,owner  occupied units,tranportation motorcycle,household income 75 and above,house value 500 or more,rent 2000 or more,population 65 and over_n,Population asian_n,nonfamily households_n,population education phd_n,renter occupied units_n,transportation public_n,household income form 10 to 40_n,house value for 20 to 100_n,rent bewteen 300 and 1000_n
Building/Use,population between 35 to 64,population other race,family households,population education high school,owner  occupied units,tranportation motorcycle,household income form 40 to 75,house value for 100 to 500,rent bewteen 1000 and 2000,,,,,,,,,
City Vehicle Placard Complaint,population 65 and over,Population white,family households,population education masters,owner  occupied units,tranportation motorcycle,household income form 40 to 75,house value for 20 to 100,rent bewteen 1000 and 2000,,,,,,,,,
Collection Truck Noise,population 65 and over,Population asian,family households,population education masters,owner  occupied units,tranportation motorcycle,household income form 10 to 40,house value for 20 to 100,rent 2000 or more,,,,population education phd_n,,,,,
Cranes and Derricks,,,,,,tranportation motorcycle,,,,population between 35 to 64_n,population other _n,family households_n,population education phd_n,owner  occupied units_n,transportation public_n,household income form 40 to 75_n,house value for 100 to 500_n,rent bewteen 1000 and 2000_n
Curb Condition,population between 35 to 64,Population asian,family households,population education high school,owner  occupied units,tranportation motorcycle,household income form 40 to 75,house value for 20 to 100,rent bewteen 1000 and 2000,,,,population education phd_n,,,,,rent bewteen 1000 and 2000_n
Damaged Tree,,,,,owner  occupied units,tranportation motorcycle,,house value for 100 to 500,,,,,,,,,,
Dead Tree,population 65 and over,Population white,family households,population education masters,owner  occupied units,tranportation motorcycle,household income form 40 to 75,house value for 100 to 500,,,,,,,,,,
Derelict Bicycle,population between 18 and 34,population other race,nonfamily households,population education bachelors,renter occupied units,tranportation motorcycle,household income form 10 to 40,,rent 2000 or more,population between 35 to 64_n,Population asian_n,family households_n,population education phd_n,renter occupied units_n,tranportation motorcycle_n,household income form 40 to 75_n,house value for 20 to 100_n,rent bewteen 300 and 1000_n
Dirty Conditions,,,,population education masters,,tranportation motorcycle,,,,,,,,,,,,
Drinking,population between 18 and 34,population other race,family households,population education bachelors,renter occupied units,tranportation motorcycle,household income form 10 to 40,,rent bewteen 1000 and 2000,,,,,,,,,
Electrical,population between 18 and 34,population other race,family households,population education bachelors,owner  occupied units,tranportation motorcycle,household income form 10 to 40,house value for 20 to 100,rent bewteen 1000 and 2000,population between 35 to 64_n,population other _n,family households_n,population education phd_n,,transportation public_n,household income form 40 to 75_n,house value for 20 to 100_n,rent bewteen 1000 and 2000_n
Food Establishment,population between 18 and 34,population other race,nonfamily households,population education bachelors,renter occupied units,tranportation motorcycle,household income form 10 to 40,house value for 20 to 100,rent 2000 or more,population between 35 to 64_n,Population asian_n,family households_n,population education phd_n,renter occupied units_n,transportation public_n,household income form 10 to 40_n,house value for 20 to 100_n,rent bewteen 1000 and 2000_n
Food Poisoning,population between 18 and 34,,nonfamily households,population education masters,,tranportation motorcycle,household income form 10 to 40,,rent 2000 or more,population between 35 to 64_n,population other _n,nonfamily households_n,population education phd_n,renter occupied units_n,transportation public_n,household income form 10 to 40_n,house value for 20 to 100_n,rent bewteen 1000 and 2000_n
Found Property,population between 18 and 34,population other race,nonfamily households,population education masters,owner  occupied units,tranportation motorcycle,household income form 10 to 40,house value for 20 to 100,rent 2000 or more,population 65 and over_n,population other _n,nonfamily households_n,population education phd_n,renter occupied units_n,Transportation Other means_n,household income form 10 to 40_n,house value for 20 to 100_n,rent 2000 or more_n
