,age_residents,race_residents,typeof_household_residents,education_residents,ownorrent_residents,transportationtype_residents,income_residents,housing_values_residents,rent_residents,age_workers,race_workers,typeof_household_workers,education_workers,ownorrent_workers,transportationtype_workers,income_workers,housing_values_workers,rent_workers
Air Quality,1.3064190923359067e-07,3.4831841279841431e-08,1.2207688918930814e-07,1.8792349988361513e-07,4.5683918309188421e-08,6.4983300067375615e-06,1.5939196390589276e-07,2.1390787518180531e-07,2.1827853429221847e-07,3.2275218874235143e-07,1.0329674820240736e-07,4.3333926840748233e-08,4.4975712407718645e-06,4.2172846548171084e-08,4.6296389089062035e-07,1.41921038982693e-07,3.4015475008409678e-07,4.4969488619903075e-08
Animal Abuse,3.460025291327545e-08,2.8036461422984559e-08,9.0650520023343872e-08,9.1989392319885735e-08,6.7270540512890394e-08,4.5459634220716989e-07,1.0062630339704491e-07,3.1370876359735631e-07,8.9757233752032722e-08,,,,,,,,,
Asbestos,2.4448440432779437e-08,8.012659800268676e-09,2.8574690043181845e-08,7.5954420331235762e-08,1.4971344774678936e-08,1.5148101010843505e-06,4.869196345981686e-08,3.069712063512728e-07,4.3994219118993369e-08,9.5897182964341717e-08,4.9123744890234918e-08,9.6813032053918212e-09,1.3409544498584935e-06,1.7221026003258054e-08,1.6713703047594143e-07,4.6015372084631805e-08,1.7664665340727863e-07,2.0963572061902826e-08
Blocked Driveway,9.6462569923277142e-07,3.9654366087356172e-07,1.1473391150800261e-06,9.3509688435176249e-07,9.1407567878105155e-07,1.2981834100028324e-05,5.0043377297267903e-06,2.0021562285853075e-06,1.581781417545837e-06,,,,3.9407375440652055e-05,,,,,2.0582751453648181e-06
Broken Muni Meter,8.9043140701885059e-07,1.6398028200757314e-07,6.8545544743302961e-07,1.6472453022371236e-06,2.98618804108707e-07,2.7811011549029188e-05,9.8482558366304514e-07,1.2466335629551606e-06,1.2517243299111312e-06,1.3682386753727306e-06,9.9395409334636337e-07,8.96967224593716e-08,2.4771988336351843e-05,3.3204132446699514e-07,3.2071443816722474e-06,7.9109296778566026e-07,3.2127598864065012e-06,2.8541674742677514e-07
Building/Use,4.300530272997047e-07,7.5732544953712734e-07,4.0431074708108901e-07,3.3520732169647302e-07,4.4110401822174281e-07,8.9983092879390091e-06,1.5352268610763978e-06,8.8135131128802279e-07,4.3013872554249114e-07,,,,,,,,,
City Vehicle Placard Complaint,3.0424540595058438e-09,1.1403003760994986e-09,2.4954741966202103e-09,9.8083203317408842e-09,3.4448689342634352e-09,6.926429285206878e-07,3.6102542580164659e-09,2.8939317918390127e-08,4.1081495844241121e-09,,,,,,,,,
Collection Truck Noise,6.0050613040927734e-09,1.2073437501193901e-09,2.5790179685972149e-09,4.4945027282909635e-09,3.4805680097658799e-09,2.1349320642936981e-07,2.1255919675142451e-09,2.8224783463642717e-08,2.9380074603454849e-09,,,,1.8776440677802684e-07,,,,,
Cranes and Derricks,,,,,,3.3998737267546151e-07,,,,2.8372237839206988e-08,8.8757720707000808e-08,2.7982965989271971e-09,2.4044921968806989e-08,1.3400511580160904e-09,1.3805361660620483e-08,1.3880155317457211e-08,5.1772419687718995e-09,3.7893733519519857e-09
Curb Condition,7.3164686362788707e-09,5.008680119549825e-09,1.5501362781108013e-08,1.1069693847723877e-08,1.4144607091254506e-08,2.3286207021822573e-07,5.3212590531082018e-08,3.160355401770858e-08,2.2228186625461336e-08,,,,7.2243631230537811e-07,,,,,3.181285077371905e-08
Damaged Tree,,,,,5.5568676983972814e-07,1.0312908121681173e-05,,7.0097560111100605e-07,,,,,,,,,,
Dead Tree,1.7378594091220402e-07,4.5052440398004549e-08,1.4612492982292713e-07,2.7295910672667768e-07,3.1040457028820749e-07,8.0578668152290097e-06,5.2637650803884013e-07,3.2837604800243823e-07,,,,,,,,,,
Derelict Bicycle,5.1168158213032197e-08,1.8384110392208332e-08,3.7500869207628906e-08,8.382322451590523e-08,1.4773156210547456e-08,7.8238583590460108e-06,4.0619101564346796e-08,,5.6068359669910763e-08,1.7659250645666779e-07,4.6477636894544101e-08,1.6260710585378583e-08,1.2057740274054e-06,2.1741539269728794e-08,4.867871999939364e-06,5.1337714208808168e-08,2.72365051896141e-07,8.9453506767863871e-08
Dirty Conditions,,,,3.0789092798517445e-07,,9.4607176973737745e-06,,,,,,,,,,,,
Drinking,8.4780855438345513e-09,1.3024731797790537e-08,8.8197668643350928e-09,2.2282756032220812e-08,7.9956378490627701e-09,1.6862600912029612e-07,1.6495933199650565e-08,,1.2224170716579896e-08,,,,,,,,,
Electrical,2.7761708159937364e-08,7.7703868736832733e-08,2.8267101490699944e-08,4.8802390593535151e-08,2.426144405485804e-08,2.3417635778786972e-06,3.5194755589442389e-08,1.1958602360303238e-07,3.1485024608872589e-08,2.3485978201328431e-07,5.3992248691584543e-07,2.8960116463792672e-08,2.1165873560457615e-06,,2.274801723784061e-07,2.9693853542872261e-08,3.697585477983775e-08,2.8839909945902173e-08
Food Establishment,1.2587689864640465e-07,3.0396321118853674e-08,1.1459372973605322e-07,1.6830395109936512e-07,5.0716933000325021e-08,4.2643695268087318e-06,1.7467057940693212e-07,3.2439050222895214e-07,1.9531902119135668e-07,2.3654553867215174e-07,1.777663647694271e-07,3.1704921891554716e-08,4.1714084756363961e-06,4.0243504275230975e-08,3.3175602130021576e-07,5.5460075786595442e-08,2.3300228480068972e-07,4.4608151246996478e-08
Food Poisoning,5.0225121717852777e-08,,4.9982043781314931e-08,6.8724050548908872e-08,,1.1070103116735536e-06,7.8879451883906815e-08,,8.4444826222363e-08,3.3085436363943152e-08,1.3511663145764673e-07,7.7697337666751867e-09,1.3254637262444103e-06,2.0895018190257479e-08,1.1151623424335776e-07,4.5847086276357795e-08,1.3390140169549992e-07,1.0344858378400597e-08
