,Neighborhood,AGENCY,APPLIANCE,Adopt-A-Basket,Air Quality,Animal Abuse,Animal Facility - No Permit,Animal in a Park,Asbestos,BEST/Site Safety,Beach/Pool/Sauna Complaint,Bike Rack Condition,Bike/Roller/Skate Chronic,Blocked Driveway,Boilers,Bottled Water,Bridge Condition,Broken Muni Meter,Broken Parking Meter,Building Condition,Building/Use,Bus Stop Shelter Placement,CONSTRUCTION,Calorie Labeling,City Vehicle Placard Complaint,Collection Truck Noise,Construction,Consumer Complaint,Cranes and Derricks,Curb Condition,DOOR/WINDOW,DPR Internal,Damaged Tree,Dead Tree,Derelict Bicycle,Derelict Vehicle,Derelict Vehicles,Dirty Conditions,Disorderly Youth,Drinking,Drinking Water,EAP Inspection - F59,ELECTRIC,ELEVATOR,Electrical,Elevator,Emergency Response Team (ERT),FLOORING/STAIRS,Fire Alarm - Addition,Fire Alarm - Modification,Fire Alarm - New System,Fire Alarm - Reinspection,Fire Alarm - Replacement,Fire Safety Director - F58,Food Establishment,Food Poisoning,For Hire Vehicle Complaint,For Hire Vehicle Report,Found Property,GENERAL,GENERAL CONSTRUCTION,Gas Station Discharge Lines,General Construction/Plumbing,Graffiti,HEAT/HOT WATER,HEATING,Harboring Bees/Wasps,Hazardous Materials,Hazmat Storage/Use,Highway Condition,Highway Sign - Damaged,Highway Sign - Dangling,Highway Sign - Missing,Homeless Encampment,Homeless Person Assistance,Illegal Animal Kept as Pet,Illegal Animal Sold,Illegal Fireworks,Illegal Parking,Illegal Tree Damage,Indoor Air Quality,Indoor Sewage,Industrial Waste,Investigations and Discipline (IAD),Lead,Legal Services Provider Complaint,Lifeguard,Literature Request,Litter Basket / Request,Maintenance or Facility,Miscellaneous Categories,Missed Collection (All Materials),Mold,Municipal Parking Facility,NONCONST,New Tree Request,Noise,Noise - Commercial,Noise - Helicopter,Noise - House of Worship,Noise - Park,Noise - Residential,Noise - Street/Sidewalk,Noise - Vehicle,Non-Emergency Police Matter,Non-Residential Heat,OUTSIDE BUILDING,Open Flame Permit,Other Enforcement,Overflowing Litter Baskets,Overflowing Recycling Baskets,Overgrown Tree/Branches,PAINT - PLASTER,PAINT/PLASTER,PLUMBING,Panhandling,Plant,Plumbing,Poison Ivy,Posting Advertisement,Public Assembly,Public Assembly - Temporary,Public Payphone Complaint,Public Toilet,Radioactive Material,Rangehood,Recycling Enforcement,Request Xmas Tree Collection,Rodent,Root/Sewer/Sidewalk Condition,SAFETY,SG-99,Sanitation Condition,Scaffold Safety,School Maintenance,Senior Center Complaint,Sewer,Sidewalk Condition,Smoking,Snow,Special Enforcement,Special Natural Area District (SNAD),Special Projects Inspection Team (SPIT),Sprinkler - Mechanical,Squeegee,Stalled Sites,Standing Water,Standpipe - Mechanical,Street Condition,Street Light Condition,Street Sign - Damaged,Street Sign - Dangling,Street Sign - Missing,Sweeping/Inadequate,Sweeping/Missed,Tanning,Tattooing,Taxi Complaint,Taxi Report,Traffic,Traffic Signal Condition,Trans Fat,Transportation Provider Complaint,UNSANITARY CONDITION,Unleashed Dog,Unsanitary Animal Facility,Unsanitary Animal Pvt Property,Unsanitary Pigeon Condition,Urinating in Public,VACANT APARTMENT,Vacant Lot,Vending,Violation of Park Rules,WATER LEAK,Water Conservation,Water Quality,Water System,Window Guard,X-Ray Machine/Equipment,total_calls
0,Allerton-Pelham Gardens,,13.0,,10.0,57.0,,,2.0,1.0,,,,413.0,,,,14.0,1.0,,141.0,,1.0,,,,1.0,65.0,,5.0,48.0,1.0,115.0,93.0,,122.0,53.0,145.0,,2.0,,,50.0,,11.0,9.0,,35.0,,1.0,2.0,1.0,,,11.0,5.0,5.0,,,25.0,17.0,,58.0,35.0,170.0,72.0,2.0,3.0,,,,,,2.0,2.0,,,1.0,188.0,16.0,2.0,4.0,5.0,1.0,7.0,,,,7.0,8.0,,50.0,1.0,,14.0,37.0,95.0,8.0,,1.0,8.0,521.0,33.0,21.0,24.0,3.0,6.0,,13.0,2.0,,114.0,22.0,147.0,112.0,,,15.0,3.0,,,,1.0,,1.0,,3.0,5.0,89.0,97.0,42.0,,98.0,,9.0,,120.0,13.0,7.0,83.0,16.0,,2.0,,,,7.0,,331.0,486.0,32.0,6.0,8.0,3.0,2.0,,,11.0,,3.0,54.0,,,141.0,3.0,,2.0,1.0,,,7.0,2.0,,60.0,31.0,4.0,221.0,,,5309
1,Annadale-Huguenot-Prince's Bay-Eltingville,,4.0,,8.0,30.0,2.0,1.0,3.0,1.0,1.0,,,87.0,3.0,,,9.0,1.0,,73.0,,,,1.0,,,11.0,,,5.0,4.0,209.0,199.0,,91.0,45.0,102.0,3.0,1.0,1.0,,10.0,,5.0,,,1.0,,,,,,,8.0,1.0,1.0,,,3.0,5.0,,57.0,6.0,22.0,6.0,1.0,13.0,,14.0,,,,2.0,1.0,4.0,1.0,1.0,299.0,12.0,1.0,1.0,13.0,1.0,3.0,,,,7.0,30.0,,285.0,2.0,,1.0,103.0,51.0,22.0,1.0,,1.0,140.0,15.0,10.0,31.0,,,,16.0,4.0,,192.0,3.0,6.0,17.0,,,13.0,6.0,1.0,,,1.0,,1.0,,1.0,11.0,47.0,138.0,8.0,,146.0,,16.0,,205.0,13.0,,129.0,10.0,4.0,,,,,53.0,,964.0,491.0,25.0,13.0,31.0,,,,,1.0,,10.0,100.0,,,23.0,3.0,3.0,10.0,1.0,,,25.0,1.0,2.0,5.0,29.0,15.0,272.0,,,5151
2,Arden Heights,,3.0,,3.0,22.0,,1.0,2.0,,2.0,,1.0,124.0,1.0,,,1.0,,,68.0,,,,,,,6.0,,,11.0,,73.0,72.0,,84.0,21.0,89.0,4.0,,,,7.0,,2.0,,,14.0,,,,,,,1.0,,,,,12.0,9.0,,37.0,4.0,13.0,3.0,2.0,6.0,,,,,,1.0,,,,1.0,471.0,5.0,3.0,3.0,17.0,,2.0,,2.0,,4.0,15.0,,187.0,,,2.0,57.0,65.0,,1.0,,1.0,148.0,14.0,8.0,30.0,,4.0,,12.0,3.0,,108.0,1.0,9.0,19.0,,,9.0,1.0,,,,,,,,3.0,15.0,53.0,79.0,,,74.0,,1.0,,162.0,12.0,,102.0,5.0,2.0,3.0,,,,31.0,,818.0,184.0,37.0,5.0,9.0,,,,,,,5.0,15.0,,,23.0,3.0,,20.0,1.0,,,1.0,,,4.0,49.0,11.0,373.0,,,4001
3,Astoria,,51.0,1.0,45.0,105.0,,1.0,14.0,4.0,1.0,,6.0,1519.0,12.0,1.0,,372.0,3.0,,208.0,2.0,1.0,,5.0,2.0,191.0,208.0,,14.0,184.0,1.0,101.0,64.0,11.0,143.0,113.0,349.0,3.0,19.0,2.0,,162.0,6.0,22.0,31.0,,85.0,,,4.0,,,3.0,116.0,34.0,25.0,1.0,1.0,175.0,52.0,,155.0,173.0,1004.0,541.0,1.0,19.0,,,,,,20.0,28.0,2.0,1.0,1.0,532.0,50.0,33.0,6.0,11.0,5.0,21.0,,,,21.0,38.0,,132.0,3.0,3.0,54.0,249.0,567.0,1273.0,2.0,12.0,18.0,1652.0,291.0,104.0,58.0,30.0,7.0,,64.0,6.0,,80.0,53.0,338.0,309.0,,1.0,23.0,,3.0,,,5.0,,,,10.0,1.0,233.0,67.0,46.0,,191.0,2.0,18.0,3.0,170.0,48.0,23.0,156.0,88.0,,28.0,,,,11.0,,568.0,420.0,17.0,7.0,21.0,3.0,11.0,,,174.0,3.0,24.0,400.0,,,342.0,3.0,2.0,6.0,12.0,4.0,,9.0,35.0,1.0,132.0,31.0,22.0,338.0,1.0,,16153
4,Auburndale,,6.0,,10.0,13.0,1.0,,1.0,2.0,,,,184.0,,,,23.0,,,106.0,,,,,1.0,104.0,15.0,1.0,4.0,23.0,,215.0,100.0,,132.0,25.0,74.0,,2.0,,,12.0,,3.0,1.0,2.0,6.0,,,,2.0,,3.0,14.0,2.0,1.0,,,12.0,,,52.0,16.0,49.0,18.0,1.0,1.0,,2.0,,,,1.0,1.0,,,1.0,165.0,11.0,8.0,1.0,1.0,1.0,2.0,,,,2.0,8.0,,183.0,,,,91.0,73.0,6.0,,2.0,1.0,188.0,14.0,12.0,18.0,1.0,,,8.0,2.0,,124.0,,12.0,35.0,,,9.0,,,,,,,,,1.0,3.0,14.0,66.0,11.0,,60.0,,4.0,,153.0,4.0,1.0,43.0,26.0,1.0,2.0,,,,13.0,,372.0,307.0,45.0,4.0,44.0,1.0,,,,4.0,,,81.0,,,22.0,,,4.0,7.0,,,1.0,3.0,,2.0,22.0,5.0,328.0,,,3874
5,Baisley Park,,28.0,,4.0,73.0,,2.0,5.0,,,,,404.0,3.0,,,1.0,,,239.0,,2.0,,,,47.0,68.0,,1.0,60.0,,147.0,48.0,,166.0,116.0,242.0,3.0,1.0,,,120.0,,8.0,2.0,,30.0,,,2.0,1.0,,28.0,11.0,7.0,5.0,,,73.0,9.0,,126.0,8.0,200.0,205.0,1.0,6.0,,22.0,,,,6.0,1.0,2.0,,3.0,173.0,9.0,6.0,7.0,2.0,2.0,1.0,,,,4.0,19.0,,175.0,2.0,,10.0,17.0,34.0,26.0,,8.0,6.0,893.0,33.0,33.0,56.0,,5.0,,21.0,1.0,,185.0,4.0,129.0,193.0,,,9.0,1.0,,,,1.0,,,,2.0,3.0,116.0,67.0,28.0,,176.0,,11.0,1.0,438.0,7.0,4.0,71.0,17.0,,3.0,,,,9.0,,346.0,457.0,6.0,5.0,10.0,,,,,10.0,1.0,6.0,61.0,,,168.0,4.0,,9.0,2.0,,,38.0,2.0,,62.0,59.0,6.0,296.0,,,7102
6,Bath Beach,,22.0,,5.0,25.0,,3.0,,,,,,410.0,2.0,,,51.0,,,123.0,1.0,4.0,,,2.0,2.0,40.0,,33.0,75.0,,94.0,33.0,2.0,54.0,59.0,107.0,,3.0,,,68.0,7.0,1.0,60.0,,35.0,,,,,,,25.0,6.0,11.0,,,102.0,18.0,,110.0,39.0,283.0,232.0,,8.0,,85.0,,,,4.0,2.0,4.0,,3.0,670.0,3.0,9.0,4.0,7.0,,6.0,,,,9.0,24.0,,110.0,7.0,,23.0,48.0,77.0,35.0,,4.0,5.0,223.0,13.0,23.0,21.0,,,,19.0,,,112.0,21.0,148.0,99.0,,,12.0,,,,,1.0,,,,4.0,5.0,66.0,41.0,56.0,,147.0,,20.0,1.0,107.0,8.0,4.0,62.0,5.0,,8.0,,,,10.0,,306.0,196.0,18.0,7.0,21.0,6.0,16.0,,1.0,6.0,,13.0,128.0,,,239.0,1.0,,6.0,5.0,2.0,,3.0,3.0,1.0,79.0,8.0,4.0,219.0,1.0,,5819
7,Battery Park City-Lower Manhattan,,9.0,,92.0,16.0,,3.0,16.0,,1.0,,13.0,46.0,3.0,,10.0,313.0,2.0,,19.0,1.0,,1.0,10.0,4.0,,256.0,14.0,1.0,17.0,6.0,6.0,5.0,6.0,15.0,10.0,90.0,1.0,6.0,1.0,89.0,8.0,2.0,22.0,75.0,3.0,2.0,3.0,7.0,4.0,9.0,1.0,268.0,103.0,34.0,54.0,1.0,12.0,36.0,7.0,,231.0,9.0,94.0,72.0,,21.0,,37.0,1.0,,,63.0,50.0,1.0,2.0,,351.0,3.0,40.0,1.0,6.0,2.0,16.0,2.0,,,3.0,43.0,,54.0,3.0,,17.0,18.0,1765.0,188.0,28.0,,17.0,353.0,372.0,76.0,21.0,34.0,,1.0,40.0,6.0,,2.0,5.0,12.0,17.0,4.0,,10.0,,,1.0,,23.0,1.0,,,8.0,7.0,78.0,1.0,7.0,,58.0,7.0,14.0,3.0,84.0,120.0,18.0,26.0,27.0,,31.0,,,,15.0,,902.0,382.0,228.0,48.0,38.0,,1.0,,,477.0,16.0,32.0,225.0,,,50.0,1.0,3.0,3.0,2.0,3.0,,1.0,75.0,7.0,12.0,6.0,8.0,203.0,2.0,,9078
8,Bay Ridge,,61.0,,94.0,73.0,,10.0,17.0,1.0,,,,1043.0,16.0,,,394.0,2.0,,195.0,3.0,5.0,,12.0,2.0,1.0,178.0,2.0,26.0,190.0,2.0,314.0,73.0,13.0,117.0,163.0,285.0,3.0,11.0,1.0,,174.0,8.0,31.0,48.0,5.0,120.0,,,,1.0,,2.0,116.0,24.0,20.0,,1.0,167.0,96.0,,258.0,330.0,1249.0,670.0,4.0,25.0,,215.0,,,,7.0,24.0,6.0,5.0,5.0,1519.0,35.0,67.0,8.0,9.0,4.0,33.0,1.0,,,17.0,105.0,7.0,194.0,4.0,,88.0,170.0,410.0,451.0,10.0,,15.0,1352.0,149.0,100.0,62.0,29.0,14.0,,76.0,10.0,,231.0,64.0,519.0,346.0,,129.0,26.0,1.0,6.0,,,21.0,,,1.0,6.0,9.0,113.0,92.0,64.0,,265.0,3.0,12.0,3.0,268.0,82.0,22.0,259.0,34.0,,27.0,,,1.0,11.0,,1102.0,510.0,99.0,29.0,33.0,11.0,25.0,,,50.0,,28.0,294.0,,,536.0,2.0,3.0,25.0,4.0,2.0,,14.0,6.0,8.0,231.0,23.0,14.0,360.0,,,17881
9,Bayside-Bayside Hills,,10.0,,14.0,37.0,,1.0,7.0,,1.0,,,416.0,2.0,,,175.0,2.0,,216.0,,,,1.0,,243.0,67.0,,6.0,13.0,,402.0,205.0,,128.0,32.0,177.0,,4.0,,,33.0,,8.0,1.0,,9.0,,,,2.0,,,42.0,12.0,4.0,,,31.0,12.0,,140.0,32.0,54.0,44.0,5.0,9.0,,49.0,,,,2.0,,1.0,,1.0,317.0,31.0,22.0,4.0,9.0,1.0,17.0,,,,6.0,18.0,,281.0,,1.0,9.0,185.0,227.0,59.0,3.0,1.0,2.0,239.0,20.0,13.0,26.0,4.0,6.0,,31.0,3.0,1.0,254.0,7.0,55.0,52.0,,,32.0,2.0,1.0,,,1.0,,,,4.0,10.0,48.0,146.0,7.0,,129.0,,3.0,,384.0,27.0,1.0,123.0,61.0,,14.0,,,,23.0,,886.0,602.0,159.0,27.0,93.0,,,1.0,,20.0,,6.0,119.0,,,52.0,5.0,,12.0,5.0,2.0,,4.0,2.0,,31.0,42.0,9.0,400.0,,,8047
