,Unnamed: 0,Neighborhood,Total Population,Population under 18,population between 18 and 34,population between 35 to 64,population 65 and over,Population white,population black,Population asian,population hispanic,population other race,Total households,family households,nonfamily households,population education high school or less,population education bachelors,population education masters,population education phd,total housing units,owner  occupied units,renter occupied units,transportation car,number of cars,transportation public,tranportation motorcycle,income per capita,household income less than 40,household income from 40 to 75,household income 75 and above,house value less than 100,house value for 100 to 500,house value 500 or more,rent less than 1000,rent bewteen 1000 and 2000,rent 2000 or more,Transportation Other means
0,0,Airport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
1,1,Allerton-Pelham Gardens,33848,7295,7423,13237,5893,8785,10594,2872,10633,964,9587,7383,2204,6647,3512,1779,249,10207,5570,3876,6458,5419,5812,28,25143.09091,2446,2396,3909,195,3554,1821,1357,2167,352,705
2,2,Annadale-Huguenot-Prince's Bay-Eltingville,28853,6160,5925,12312,4456,25831,151,854,1820,197,9885,7896,1989,6725,4189,1670,149,10536,7772,1736,9942,9059,2706,0,37094.5,1631,2129,5658,134,3087,4551,546,921,269,218
3,3,Arden Heights,25602,5368,5468,11481,3285,20381,362,1605,3040,214,8960,7147,1813,5523,3895,1782,141,9237,7893,998,8937,7535,2640,0,35804,1362,1875,5419,218,5477,2198,249,615,134,62
4,4,Astoria,77095,9879,28272,28870,10074,39620,3555,10772,21201,1947,34310,16041,18269,12369,16794,6921,848,37046,5134,28476,6832,5714,31245,80,32510.95652,9817,9642,12079,114,2200,2820,6117,19255,3104,3584
5,5,Auburndale,20999,4035,4412,9020,3532,8809,200,9205,2273,512,7122,5452,1670,3734,3278,1878,254,7448,4885,2115,5636,4502,3206,0,29580.71429,1658,1875,3319,116,935,3834,198,1440,477,297
6,6,Baisley Park,37155,9160,9730,14213,4052,331,27026,1871,4864,3063,10730,8375,2355,8704,2767,1142,38,11788,6800,3796,7335,6530,7899,0,22622.625,2689,3218,4186,306,5665,829,1172,2211,413,657
7,7,Bath Beach,32002,6470,7744,12691,5097,15104,374,11278,4872,374,11125,7905,3220,6678,4431,1822,199,12040,4587,6219,4377,3379,8016,5,28087.27273,3354,2860,4014,104,1068,3415,1754,4319,146,745
8,8,Battery Park City-Lower Manhattan,42485,5859,19178,14736,2712,27760,1216,8376,3867,1266,21216,8217,12999,1256,14063,7649,1247,25317,4368,16436,1625,1476,16721,0,97467.28571,2193,2505,15321,245,941,3182,1626,1040,13770,8120
9,9,Bay Ridge,84439,17275,20342,35004,11818,54257,1459,12084,14227,2412,34991,19961,15030,13970,15350,7495,1089,37740,12124,22237,11879,9608,21598,11,36166.17857,9649,8761,13927,685,3856,7583,4143,16616,1478,3731
10,10,Bayside-Bayside Hills,46667,9030,9682,20170,7785,19379,811,18010,6958,1509,16008,11777,4231,8007,9080,3935,683,16824,10624,5066,13727,11481,6579,5,34104.94444,3547,3490,8393,429,2477,7718,451,3480,1135,877
11,11,Bedford,71706,21501,22234,22575,5396,21931,32549,1920,13811,1495,24920,14307,10613,11305,7157,3787,311,28745,4563,19942,4236,3450,18306,29,21487.36842,9401,5695,6142,225,1090,3248,9053,8720,2169,4870
12,12,Bedford Park-Fordham North,53362,13786,15485,19924,4167,3738,8375,2242,38252,755,18636,11921,6715,9307,2990,979,50,19960,861,17493,3675,2839,14351,16,15123,8376,4206,2958,77,687,97,5682,11562,249,2245
13,13,Bellerose,26609,5389,6616,11097,3507,8134,1521,10591,5264,1099,8252,6570,1682,5363,4145,2166,155,8834,5974,2013,8500,7598,3189,0,27919.16667,1680,1911,4274,208,3531,2235,280,1548,185,301
14,14,Belmont,27395,7507,10444,7595,1849,5780,4142,462,16519,492,8643,5316,3327,3824,852,425,104,9554,410,8020,1644,1185,4987,0,11039.6,4391,1460,799,74,297,39,3935,3981,104,2089
15,15,Bensonhurst East,61820,11738,14718,25135,10229,30304,404,23333,6755,1024,21974,16076,5898,13477,7850,3191,245,23761,8106,13284,7041,5370,16901,26,23776,7827,5700,6353,425,1710,5971,4097,8863,324,2475
16,16,Bensonhurst West,90834,19048,22607,35698,13481,40801,659,34578,13719,1077,30027,21853,8174,19779,10270,3405,289,31965,10429,18843,10398,7743,23654,5,22273.84615,10535,8239,8822,383,2096,7950,5162,13121,560,3436
17,17,Borough Park,109422,43293,25876,29945,10308,82725,633,14101,11307,656,28130,22177,5953,20772,6149,2833,303,30444,8654,18463,9847,7099,13481,0,15476.21429,12893,6537,6448,262,1180,7212,4991,11491,1981,10373
18,18,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,28972,6813,4705,12202,5252,22575,2283,608,3206,300,10866,6909,3957,4827,4140,2477,195,13277,6669,4041,7413,6627,3004,18,38082.125,2582,2352,5414,325,2553,3791,1174,2644,223,572
19,19,Briarwood-Jamaica Hills,40027,7358,11277,16505,4887,7749,4310,15438,10310,2220,13735,8999,4736,6353,7720,3326,328,14536,5158,8317,6129,5374,11550,0,23921.45455,3683,4210,4950,159,3178,1821,1166,6477,674,1429
20,20,Brighton Beach,33146,5823,7015,12971,7337,22785,432,5053,4105,771,14145,8028,6117,6494,6812,1992,248,15738,4224,9617,3906,3079,7038,0,25309.33333,5005,2465,3621,293,1624,2307,4287,4978,352,2012
21,21,Bronxdale,35587,8478,9666,13371,4072,4219,10807,1624,18245,692,13361,8760,4601,6625,2736,1215,181,14438,1679,11469,4299,3801,8504,0,19014.25,4844,3307,2927,262,1172,245,5347,5929,193,1442
22,22,Brooklyn Heights-Cobble Hill,23532,3008,7957,9492,3075,17273,1351,1830,2099,979,11036,4681,6355,1536,6812,4467,780,12655,4866,5898,791,575,9589,14,81744.5,1957,1647,6927,249,1322,3295,824,2222,2852,1676
23,23,Brownsville,61161,18852,16359,20186,5764,557,47823,571,11436,774,21030,14577,6453,12997,2472,779,38,22685,3032,17800,3759,3079,13597,0,15366,9425,4110,2645,323,2321,388,11605,5976,219,1369
24,24,Bushwick North,63458,15333,23969,20653,3503,7672,6031,3781,45496,478,19191,12912,6279,7546,5203,1776,89,20699,1997,16916,3518,2796,20944,22,18461.84615,6681,5251,4759,140,918,939,4151,11140,1625,4153
25,25,Bushwick South,75202,16976,25875,25409,6942,8688,18817,2247,44401,1049,25575,15556,10019,12202,7371,1966,181,28495,3997,21291,4597,3887,23362,45,18370.19048,9280,6541,5548,163,2053,1781,8651,10365,2275,3629
26,26,Cambria Heights,19688,3303,3958,8592,3835,316,17937,258,765,412,6178,4809,1369,4442,2544,1428,136,6488,5120,987,5489,4742,3431,0,31611.46154,1089,1684,3239,387,4379,354,261,512,214,147
27,27,Canarsie,87511,20306,21506,36474,9225,4326,72157,2612,6918,1498,28134,21733,6401,16890,9458,4123,226,29934,13672,14089,17326,14523,21970,8,25340.24242,7083,7317,11303,464,7742,5466,4475,8923,691,1433
28,28,Carroll Gardens-Columbia Street-Red Hook,40307,7300,11877,17101,4029,24320,4143,2200,8410,1234,17786,9517,8269,4652,10291,6131,592,19186,4781,12779,2133,1688,14388,16,56519.91667,3278,3042,9632,124,677,3980,4092,3815,4872,3736
