,Neighborhood,Median House Value,Median Age,Median Rent,Median Income,Cars per capita,Building Density,Proportion of Commercial area,Proportion of retail area,Proportion of Office area,Proportion of Residential area,Inbound Commute Density,Population Density,Proportion of Tenants
0,Airport,,,,,,0.063939456,1,0.000824677,0.000197279,0,7687.083553,0,0
1,Allerton-Pelham Gardens,445200,39.7,1538,64702,1.129863357,0.410404469,0.157478598,0.040692233,0.075123515,0.842521402,6435.383106,29798.20074,0.404297486
2,Annadale-Huguenot-Prince's Bay-Eltingville,527900,41.6,1342,91354.5,1.858472433,0.148602706,0.125963562,0.009717262,0.040170297,0.874036438,1131.370546,5607.873966,0.175619626
3,Arden Heights,409750,40.45,1299,88864.5,1.741741071,0.287015966,0.03188914,0.018930371,0.008396913,0.96811086,945.89895,14161.9327,0.111383929
4,Astoria,637150,34.1,1432,57798,0.422238414,0.60033707,0.221847237,0.066576941,0.036913409,0.778152763,17386.76066,54644.61121,0.82996211
5,Auburndale,627900,42,1711,71800,1.453383881,0.341951359,0.152611489,0.036254033,0.035733314,0.847388511,3663.895452,17112.57575,0.296967144
6,Baisley Park,350550,34.7,1467.5,59250,1.113793103,0.316602597,0.131665936,0.027325206,0.00668852,0.868334064,2806.998059,24539.76774,0.353774464
7,Bath Beach,604600,38.9,1241,55280,0.791370787,0.514171897,0.137812978,0.044012407,0.031987215,0.862187022,6965.352567,42636.80429,0.559011236
8,Battery Park City-Lower Manhattan,911000,33.3,2000,134435,0.275122549,0.869665382,0.767184317,0.034307032,0.588837388,0.232295484,429770.3908,56674.23528,0.774698341
9,Bay Ridge,669900,38.3,1329.5,60717.5,0.689663056,0.418161333,0.168747942,0.047253467,0.050411774,0.831252058,10706.85084,34378.11917,0.635506273
10,Bayside-Bayside Hills,613200,42.5,1680,77268,1.39167916,0.31167743,0.166520612,0.043129221,0.037059866,0.831544384,5008.734651,16081.3636,0.316466767
11,Bedford,610100,31.2,1226,38566,0.354895666,0.621209803,0.237559059,0.040168423,0.070637388,0.763475016,17163.14768,61265.46533,0.80024077
12,Bedford Park-Fordham North,225700,31.5,1144,28824,0.252200043,0.714937649,0.179479452,0.068761852,0.033151195,0.820520548,25739.0085,99333.54825,0.938667096
13,Bellerose,472400,39.05,1396.5,76756.5,1.547140087,0.270528249,0.265152881,0.027106021,0.005370605,0.734847119,4968.094028,13528.04073,0.243940863
14,Belmont,388700,25.9,1048,21190,0.303945389,0.560560619,0.344131574,0.053917112,0.152243141,0.655868426,20598.56383,55954.1553,0.927918547
15,Bensonhurst East,614050,38.9,1162.5,44930.5,0.657458815,0.524620615,0.151981239,0.051870615,0.028673525,0.848018761,12350.47363,48271.24485,0.604532629
16,Bensonhurst West,655200,39.15,1180.5,45535.5,0.651513638,0.554630333,0.157036349,0.073464588,0.025626385,0.842963651,14538.86055,54270.68543,0.627535218
17,Borough Park,716900,24.3,1331.5,36597,0.568147885,0.600268781,0.25500238,0.046967272,0.045817679,0.744021949,41284.08096,56527.39419,0.656345539
18,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,495550,46.15,1323.5,81706,1.232928401,0.161730647,0.532640497,0.015970853,0.007792165,0.467359503,1939.304459,9116.587504,0.371893981
19,Briarwood-Jamaica Hills,457500,37.9,1366,55179,0.88401893,0.475921706,0.201804395,0.023475387,0.036917406,0.798195605,7825.066932,38039.10057,0.605533309
20,Brighton Beach,478600,43.8,1116,33951,0.523789325,0.494682906,0.171457338,0.03777277,0.095088334,0.828224121,35337.12072,53933.97815,0.679886886
21,Bronxdale,386700,34.1,1088,37340.5,0.527430582,0.491579615,0.162939462,0.036084709,0.082746036,0.837060538,16366.80928,65252.70465,0.858393833
22,Brooklyn Heights-Cobble Hill,718600,36.35,1953,108067,0.326930047,0.739202691,0.410825272,0.037319847,0.222320401,0.589033536,877217.8323,63853.70631,0.534432765
23,Brownsville,374800,30.3,963,31447,0.304850214,0.562158482,0.255338605,0.057169118,0.0607471,0.744661395,6456.79185,52160.06424,0.846409891
24,Bushwick North,477200,29,1294,43316,0.326924079,0.599753392,0.310727138,0.057847719,0.015415597,0.689093044,21854.77878,71153.8942,0.881454849
25,Bushwick South,469400,30.7,1180,38350,0.362463343,0.545558209,0.301577929,0.037254173,0.031957966,0.698422071,14585.71225,52108.06329,0.832492669
26,Cambria Heights,374600,44.3,1375,74417,1.479443186,0.255150482,0.111208154,0.035368047,0.004026518,0.888791846,1176.361705,16321.50053,0.15976044
27,Canarsie,469000,37.1,1388,67019,0.974550366,0.353107011,0.218219051,0.032542911,0.032862623,0.781780949,4307.725774,28575.9089,0.500781972
28,Carroll Gardens-Columbia Street-Red Hook,924400,35.85,1980,104308,0.436523108,0.476946261,0.423284817,0.047775617,0.06118367,0.576243992,17586.07843,24787.2876,0.71848645
29,Central Harlem North-Polo Grounds,556500,34.35,980,34666.5,0.229466604,0.727702382,0.216531434,0.029834751,0.017519433,0.783299701,21218.13604,87557.77112,0.879779325
30,Central Harlem South,850500,35.05,1038,52469,0.246916834,0.757611652,0.251818508,0.07254981,0.063863876,0.745286931,31292.3485,93851.93901,0.808105829
31,Charleston-Richmond Valley-Tottenville,522450,38.55,1204,87495.5,1.84362664,0.119167537,0.268441486,0.07728801,0.031281055,0.731558514,2029.473034,4581.321913,0.180949955
32,Chinatown,602000,41.4,964,40486.5,0.157181118,0.756364872,0.566070824,0.105259001,0.188750889,0.427396828,263194.6994,86851.95868,0.917475728
33,Claremont-Bathgate,415600,28.15,943,22537,0.23312943,0.607640579,0.339154186,0.032983596,0.105019968,0.660845814,20391.23001,56330.34878,0.936013205
34,Clinton,752900,40.1,1963,73021,0.143415023,0.790256817,0.504234112,0.05585055,0.199250576,0.495765888,168995.1051,63586.3967,0.832635983
