,Population under 18,population between 18 and 34,population between 35 to 64,population 65 and over,Population white,population black,Population asian,population hispanic,population other race,family households,nonfamily households,population education high school or less,population education bachelors,population education masters,population education phd,owner  occupied units,renter occupied units,transportation car,number of cars,transportation public,tranportation motorcycle,household income less than 40,household income from 40 to 75,household income 75 and above,house value less than 100,house value for 100 to 500,house value 500 or more,rent less than 1000,rent bewteen 1000 and 2000,rent 2000 or more,Transportation Other means,population between 18 and 34_n,population between 35 to 64_n,population 65 and over_n,Population white_n,population black_n,Population asian_n,population hispanic_n,population other _n,family households_n,nonfamily households_n,population education high school and less_n,population education bachelors_n,population education masters_n,population education phd_n,household income less than 10_n,owner  occupied units_n,renter occupied units_n,transportation car_n,transportation public_n,tranportation motorcycle_n,household income less than 10_n,household income form 10 to 40_n,household income form 40 to 75_n,household income 75 and above_n,house value less than 100_n,house value for 100 to 500_n,house value 500 or more_n,rent less than 1000_n,rent bewteen 1000 and 2000_n,rent 2000 or more_n,Transportation Other means_n
APPLIANCE,0.00099062281330723713,0.0011021990179219724,0.0014894959210128703,0.0024243906337396825,0.00019252972579013495,0.00021097334905419564,0.00039561324722060435,0.00022951874219291884,0.0015922932694058113,,,,,,,0.00091093545610398063,0.00043048227081274055,0.001116629257068145,,0.00062539147229405618,0.18128401041465547,0.0022612235901534276,0.0038354542968134864,0.00085725774900441117,,,,0.00099878545046779618,0.00081931978020886951,0.00092815367375409779,0.0017129447755930474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Quality,0.00067452800742070747,0.00075050170191203434,0.001014217219879912,0.0016507992360142304,0.00018581086318450305,0.00020361084469323101,0.00038180721782885956,0.00022150904453255513,0.0015367257477615333,0.0004830335480558899,0.00040857126500478606,0.00052209363866561438,0.0013299292428177248,0.0027833086041914356,0.0075547822872556198,0.00071422912416099077,0.00033752443511686318,0.00063127133816537871,,0.0003535566609000216,0.10248647804815852,0.0014602883106442938,0.002476919619995268,0.00055361330720746747,0.0074401914565920381,0.0012829987194855606,0.00099260252335081883,0.00064496907880319662,0.00052907851595059919,0.00059935837037734807,0.00096839029950835862,0.0028185611196402645,0.0045949241952163156,0.010457736298949742,0.00071415318319627535,0.0010029652245125587,0.0027137379717462368,0.0014526792942365198,0.021484562131289929,0.00047028771162037038,0.0006783231282789235,0.0015826104684405137,0.011498671372933108,0.0252804741158601,0.047174334698976333,0.008036533780463024,0.00076319822085499063,0.00049357438616865271,0.0019350726675157553,0.0039023502740554291,0.1013858199964925,0.008036533780463024,0.0049307999118193557,0.004920117620987873,0.00057687217527113981,0.0073161522567021069,0.0010091455578411538,0.00050380971846531906,0.002245257945913016,0.001266580465944982,0.00067230989500887577,0.0029249761537798909
Animal Abuse,0.00053616941016223292,0.00059655944662494968,0.00080618186728638724,0.0013121887348377615,0.00012576246202796262,0.00013781003266094029,0.00025841877547560263,0.00014992408045709526,0.0010401028776684076,0.00047603812802297463,0.00040265422751620727,0.00050756438543867355,0.0012929188728155194,0.0027058523922705688,0.0073445415626099686,0.00055555615822105021,0.00026254008991796318,0.00061666714903979656,,0.00034537728060786508,0.10011549774580555,0.0013889826079674116,0.002355971932685498,0.00052658043596282662,,,,0.00067492694944669624,0.00055365343940354055,0.00062719769030595792,0.00094598700915384892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asbestos,0.00021491837605046565,0.00023912514413570269,0.00032315028503042864,0.00052597829457990861,,,,,,0.00015236430966935818,0.00012887651177385245,0.00017109605143943266,0.00043583301018858722,0.00091212203491250346,0.002475788485256513,0.00019649727960741406,9.2859043488883732e-05,0.00021005595767537537,,0.00011764621408869637,0.034102443741145211,0.00048057181956933059,0.00081513887362620315,0.00018219070333111344,,,,0.00022539068490765477,0.00018489160643376886,0.00020945158154737995,0.00032223251630265144,,,,,,,,,,,0.00054198976001008914,0.0039379002364315196,0.0086576945952454402,0.016155590306013975,,0.00024836946477034343,0.00016062512040414104,0.00066620863287249069,0.0013435048123570737,0.03490520519791783,,,,,,,,,,,0.0010070135335516909
Bike/Roller/Skate Chronic,6.6409520118362409e-05,7.3889382388397473e-05,9.9853050024645865e-05,0.00016252666141272339,,,,,,4.5418591058255776e-05,3.8417064980462805e-05,5.2958195992802144e-05,0.0001349004245248213,0.00028232292380721253,0.00076631395485681733,,,5.9890967752725684e-05,,3.3543183883912112e-05,0.0097232584164381481,0.00014579337602029844,0.00024729258660619941,5.5272066809825937e-05,,,,6.0148066335051507e-05,4.9340426882011204e-05,5.5894535419930306e-05,9.1874648338165742e-05,,,,,,,,,,,,,,,,7.3793647111087646e-05,4.772371460090398e-05,,,,,,,,,,,,,,
Blocked Driveway,0.0060200922393361059,0.0066981495528490517,0.009051783094592758,0.014733211312355284,0.0014922652163289372,0.001635218608835369,0.0030663311108112424,0.0017789608023615177,0.012341594786869654,0.0048149383117464684,0.0040726890396495657,0.0048232542990978844,0.012286276757386316,0.025713021949843248,0.069793296541374061,,,0.006337544955318717,,0.0035494740490170243,1.0288961697993837,0.014247206720295072,0.024165903129127531,0.0054012917677954894,,,,0.0070390490173802001,0.0057742452006066328,0.0065412638942193568,0.0097219954184280949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boilers,0.00016142880809022405,0.00017961091885956425,0.00024272361584487805,0.00039507114624496263,3.804388444146029e-05,4.1688345416305271e-05,7.8173199483893473e-05,4.5352916124000048e-05,0.00031463723791006197,0.00014019126161867417,0.00011858000615628293,,,,,0.00013620714600853228,6.4367635623113214e-05,0.00016673459064267201,,9.3383180195504999e-05,0.027069248880252875,0.00039832366451188596,0.00067563075904004065,0.00015100941344393042,,,,0.00017330727998696746,0.00014216675110857312,0.00016105139350287368,0.0002557761621810888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broken Muni Meter,,,,,,,,,,,,0.0038405702881042338,0.0097830855558805989,0.020474281883998979,0.055573694519026925,,,,,,,,,,,,,,,,,0.020521341149351634,0.033454661070993152,0.076140543039952283,0.0047340994385264481,0.0066486255581409311,0.017989285367115571,0.0096297662644654509,0.14242050013347432,0.0032578403666916724,0.0046989713198194727,0.011042675713094433,0.080232060658529197,0.17639468656479057,0.32915925330324225,0.057798278295037336,0.0054710772451841173,0.003538246708630774,,,,0.057798278295037336,0.035462022969815842,0.03538519656241524,0.0041488307568669103,0.050944156571598037,0.0070269272013984072,0.0035081502242217477,,,,
Broken Parking Meter,,,,,,,,,,,,,,,,,,,,,,6.022961438098376e-05,0.00010216058875331705,2.2833789578562868e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building/Use,,,,,,,,,,,,0.0027407925435416706,0.0069816214606042981,0.014611308975609014,0.039659726584511265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
