,Population under 18,population between 18 and 34,population between 35 to 64,population 65 and over,Population white,population black,Population asian,population hispanic,population other race,family households,nonfamily households,population education high school or less,population education bachelors,population education masters,population education phd,owner  occupied units,renter occupied units,transportation car,number of cars,transportation public,tranportation motorcycle,household income less than 40,household income from 40 to 75,household income 75 and above,house value less than 100,house value for 100 to 500,house value 500 or more,rent less than 1000,rent bewteen 1000 and 2000,rent 2000 or more,Transportation Other means,population between 18 and 34_n,population between 35 to 64_n,population 65 and over_n,Population white_n,population black_n,Population asian_n,population hispanic_n,population other _n,family households_n,nonfamily households_n,population education high school and less_n,population education bachelors_n,population education masters_n,population education phd_n,household income less than 10_n,owner  occupied units_n,renter occupied units_n,transportation car_n,transportation public_n,tranportation motorcycle_n,household income less than 10_n,household income form 10 to 40_n,household income form 40 to 75_n,household income 75 and above_n,house value less than 100_n,house value for 100 to 500_n,house value 500 or more_n,rent less than 1000_n,rent bewteen 1000 and 2000_n,rent 2000 or more_n,Transportation Other means_n,Intercept
APPLIANCE,0.0053784604181559247,0.0035802743003767357,-0.00043555628955810647,-0.0049560104471444337,0.00049665502842697977,0.0025727190022625489,-0.00060207644063651306,0.0027480591658308336,-0.0016252489975365858,,,,,,,-0.0060882040353110543,0.0052154349315620095,-0.0047204750128754898,,0.0063174282698022464,-0.67422416962570519,0.016995915438822631,-0.0022995262000812455,-0.0026970173023810684,,,,0.0099855171155246707,0.0057585518917332955,-0.00475844631652336,-0.0079448236892766359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.86339425007
Air Quality,-0.0048512179087492483,0.0060963566909130514,-0.0010145104605801419,0.0047000507829824938,0.0020049748190233661,0.00022559660030029694,-0.00032204638318985857,0.00060639607576787715,0.0026832137498541981,-0.0018357601735444582,0.0072114937990588055,-0.0016996854408773902,0.0039254606984005895,0.0066415060896968074,-0.0064081010961260874,0.0028371178849662618,0.0033577692310462013,-0.0012712806064099828,,0.00084398933318407924,0.33690862187806392,0.0086289898286337659,-0.015089190597345817,0.0090251114309818602,0.0019861099997475892,-0.0058446214433389458,0.011217498637549859,0.0017542306252056558,0.00052167949356171411,0.011955529985577338,0.010030789352692596,0.0093704628309529657,0.0017491980929461113,-0.023549712108660914,-0.0008687914717744415,1.8924611670365857e-05,0.0012453878998657073,0.0044921671976317253,-0.020296408817067638,-0.00020963539912122295,0.00098739359004778844,0.0019839004544787812,0.051777640194582406,-0.1410365886665062,0.27908905115257193,0.029179968036347797,-0.0051949163991556737,0.0038738007937014736,-0.015311035344697896,0.027911431685259742,-0.019903097251007876,0.029179968036347797,-0.011398522795841186,0.0054654578540988706,-0.0013987538738708572,0.032830552856981297,-0.0046017782382520005,0.00077804801214307207,0.0088796256633440138,-0.004033382283027338,-1.1872112265487933e-05,-0.016008524831343487,18.9212205116
Animal Abuse,0.0012664046592473423,0.0016784498954073121,0.00092497903302659679,-0.0017567982134110416,0.0006519599981981767,0.0011533094781751353,4.5404938160568085e-05,0.0012068718498554781,0.0022074937975286664,0.0036340094264268818,0.00046479856790714838,0.0041984096067735118,0.0017602564596274014,-0.0014751200515327903,0.0017996619904558711,0.00055876424051092455,0.0023101910117545505,0.0013795577192125218,,0.0024839719204250489,-0.032831945269940599,0.0040645893370852742,0.0050746223023439381,-0.00051309490189183516,,,,0.0036623942144219978,0.0028891854753294818,-0.0003830421658745514,-0.0016130080388625245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4907110581
Asbestos,-0.0010089884393321103,0.001128073111210409,0.00027551114998278697,0.00079731014343360741,,,,,,-5.5397431247484132e-05,0.0018403812102625243,0.00027258915359635574,-0.00042041332965101017,0.0039619850762564433,-0.0009206924071014247,0.00067196121226549424,0.0011125660233676105,-0.0004908206182518385,,0.0007216551992991092,0.090719119906356088,0.0027599797516343568,-0.0032686210693561027,0.0021337901885374803,,,,0.00080809041586456438,0.00062171112503602325,0.0027104701197203937,0.0012564902611244726,,,,,,,,,,,0.00048952460614420327,0.01181768126987413,-0.032973580736541629,0.068509890515415658,,-0.0017792385967089345,0.0012625791215662712,-0.0053879485235326253,0.0099577146587818254,-0.081747436865815953,,,,,,,,,,,-0.0034151057311756052,3.36255385267
Bike/Roller/Skate Chronic,-0.00042580352470747472,0.00059484032821492997,-0.00027619721853735363,0.00064536065861704977,,,,,,-0.00032779445031949503,0.00068255490092248476,-0.00031900492478491576,0.00063210234666130388,-4.4136551515439829e-05,-0.00011196698520083955,,,-0.0001636351351839243,,-2.1769279990503209e-05,0.017634351054374175,0.00078735357488096149,-0.0016960446952968497,0.00084005760736013133,,,,0.00013729927008415338,-9.5248125111093598e-05,0.0011329397799678016,0.0011171108994245808,,,,,,,,,,,,,,,,-0.00026364659441749112,0.00021888851599371963,,,,,,,,,,,,,,,0.681229834065
Blocked Driveway,0.015566856857655055,-0.024281450896086083,0.056938273765819489,-0.074006459008112049,0.0021758861324420458,0.0093739499023399783,0.02236714461489871,0.0076268667018446496,0.040996071566518126,0.066972741374948977,-0.029119727882237094,0.059415444137470588,0.027338939565822222,-0.015826208194542751,-0.1448368793423801,,,0.047126070654789756,,0.027707996284974265,-0.63136799262499177,-0.084665327936790866,0.27882920206746953,-0.04892663880373746,,,,-0.03964772818368708,0.077700066681079483,-0.038313876977356789,-0.038745228632395767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.4497222979
Boilers,0.00014802285960061119,0.00087393052494746004,-0.0001273841050870644,9.7527242672665196e-05,0.00024161361217163007,0.00025472003325224888,-0.00011219381188746984,0.00041928617187163823,0.00020087199168859058,0.00052129258511486663,0.00065548474395046353,,,,,-0.00047018223219644906,0.00091825312689560216,-0.00066153365877109731,,0.00090901761806839608,-0.0788462784322988,0.0023758734735568436,-0.00077521325680120939,0.00032574990478911826,,,,0.0013186050034229703,0.00081722456634168543,0.0003697766188066853,-0.00024902121828583763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.572570936833
Broken Muni Meter,,,,,,,,,,,,-0.002686127754078292,-0.014955530956634093,0.092505073541269606,0.027387531405611454,,,,,,,,,,,,,,,,,0.054658495719939984,-0.048045012041322638,0.042345846360570816,-0.014615595981158632,-0.019175646875913124,0.054519967324317624,0.04164310622008157,-0.17429484556784736,-0.0030589587402791527,0.0089862707538494076,0.016020020398660982,0.30194449577058985,-0.87859696673892052,1.978208305802917,0.10299580379184331,-0.031404254974676846,0.023741559331846337,,,,0.10299580379184331,-0.013741817024832813,-0.01630242642933865,-0.0020192029409975883,0.22149466862249167,-0.031585855995179275,0.0057057898340439721,,,,,70.4267547645
Broken Parking Meter,,,,,,,,,,,,,,,,,,,,,,6.6353342215659164e-05,-0.00010929941660506239,0.00017508766613345421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.32373753763
Building/Use,,,,,,,,,,,,0.01966574522502005,0.0080393617776510287,-0.016135673116238258,0.0041597234702687204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.6359557453
